id,name,type,sex,age,representation,party,position,state
MartinKaiser,Martin Kaiser,1,2,3,4,7,1,6
ClaudiaNemat,Claudia Nemat,1,1,3,2,7,1,7
BarbaraPraetorius,Barbara Praetorius,1,1,3,3,7,2,1
StanislawTillich,Stanislaw Tillich,1,2,4,3,6,2,9
GerdaHasselfeldt,Gerda Hasselfeldt,1,1,4,3,1,1,3
SteffenKampeter,Steffen Kampeter,1,2,3,2,6,1,7
StefanKapferer,Stefan Kapferer,1,2,3,2,3,1,4
DieterKempf,Dieter Kempf,1,2,4,2,7,1,3
RonaldPofalla,Ronald Pofalla,1,2,4,3,6,2,7
KatherinaReiche,Katherina Reiche,1,1,2,2,6,1,2
GundaRoestel,Gunda Roestel,1,1,3,2,4,1,9
EricSchweitzer,Eric Schweitzer,1,2,3,2,3,1,1
AntjeGrothus,Antje Grothus,1,1,3,6,2,1,7
HanneloreWodtke,Hannelore Wodtke,1,1,4,6,6,1,2
JuttaAllmendinger,Jutta Allmendinger,1,1,4,5,7,1,4
MichaelKreuzberg,Michael Kreuzberg,1,2,4,6,6,1,7
ReinerPriggen,Reiner Priggen,1,2,4,6,4,1,7
MichaelVassiliadis,Michael Vassiliadis,1,2,3,1,5,1,7
AndreasScheidt,Andreas Scheidt,1,2,3,1,5,1,7
StefanKoerzell,Stefan Koerzell,1,2,3,1,5,1,5
MatthiasPlatzeck,Matthias Platzeck,1,2,4,3,5,2,2
HubertWeiger,Hubert Weiger,1,2,4,4,7,1,3
FelixMatthes,Felix Matthes,1,2,3,5,7,1,1
ChristineHerntier,Christine Herntier,1,1,4,6,7,1,2
AndreasLenz,Andreas Lenz,1,2,1,2,1,3,3
HansJoachimSchellnhuber,Hans Joachim Schellnhuber,1,2,4,5,7,1,3
AnnekathrinNiebuhr,Annekathrin Niebuhr,1,1,3,5,7,1,10
MatthiasMiersch,Matthias Miersch,1,2,3,4,5,3,8
AndreasLaemmel,Andreas Laemmel,1,2,3,2,6,3,9
KaiNiebert,Kai Niebert,1,2,1,4,7,1,8
RalfWehrspohn,Ralf Wehrspohn,1,2,2,5,7,1,10
ZDF,ZDF Verwaltungsrat,0,99,99,99,7,99,99
SPD,SPD,0,99,99,99,5,99,99
DeutscheBahn,Deutsche Bahn,0,99,99,99,7,99,99
DeutschRussischeForum,Das Deutsch Russische Forum,0,99,99,99,7,99,99
DeutscherBundestag,Deutscher Bundestag,0,99,99,99,7,99,1
FlughafenBerlinBrandenburgGmbH,Flughafen Berlin Brandenburg GmbH,0,99,99,99,7,99,2
CDU,CDU,0,99,99,99,6,99,99
Bundeskanzleramt,Bundeskanzleramt,0,99,99,99,7,99,1
GemeinderatWeeze,Gemeinderat Weeze,0,99,99,99,7,99,99
HTWBerlin,Hochschule fuer Technik und Wirtschaft Berlin,0,99,99,99,7,99,1
VerbandkommunalerUnternehmen,Verband kommunaler Unternehmen,0,99,99,99,7,99,99
AgoraEnergiewende,Agora Energiewende,0,99,99,99,7,99,99
MIBRAG,Braunkohle Unternehmen MIBRAG,0,99,99,99,7,99,99
RKK,Rat des Kreises Kamenz,0,99,99,99,7,99,99
EP,Europaeisches Parlament,0,99,99,99,7,99,99
CSU,CSU,0,99,99,99,1,99,99
DRK,Deutsches Rotes Kreuz,0,99,99,99,7,99,99
FrauenUnion,Frauen Union,0,99,99,99,7,99,99
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbaende,0,99,99,99,7,99,99
StiftungsratderKulturstiftung,Stiftungsrat der Kulturstiftung,0,99,99,99,7,99,99
InitiativeMusik,Initiative Musik gGmbH,0,99,99,99,7,99,99
Bundesfinanzministerium,Bundesfinanzministerium,0,99,99,99,7,99,99
KulturakademieTarabya,Kulturakademie Tarabya,0,99,99,99,7,99,99
FDP,FDP,0,99,99,99,3,99,99
BDEW,Bundesverband der Energie und Wasserwirtschaft,0,99,99,99,7,99,99
DEA,Deutsche Energie Agentur,0,99,99,99,7,99,99
BundesministeriumfuerGesundheit,Bundesministerium fuer Gesundheit,0,99,99,99,7,99,99
BDI,Bundesverband der Deutschen Industrie,0,99,99,99,7,99,99
DATEV,DATEV eG,0,99,99,99,7,99,99
DsiN,Deutschland sicher im Netz,0,99,99,99,7,99,99
GVB,Genossenschaftsverband Bayern,0,99,99,99,7,99,3
DeutscheMesse,Deutsche Messe AG,0,99,99,99,7,99,99
CyberSicherheitsrat,Nationaler Cyber Sicherheitsrat,0,99,99,99,7,99,99
Bitkom,Bitkom,0,99,99,99,7,99,99
Telekom,Deutsche Telekom AG,0,99,99,99,7,99,99
McKinsey,McKinsey,0,99,99,99,7,99,99
Lanxess,Lanxess AG,0,99,99,99,7,99,99
Airbus,Airbus SE,0,99,99,99,7,99,99
EON,EON SE,0,99,99,99,7,99,99
DieGruenen,Die Gruenen,0,99,99,99,4,99,99
SD,Stadtentwaesserung Dresden GmbH,0,99,99,99,7,99,9
EnBW,EnBW,0,99,99,99,7,99,4
Gelsenwasser,Gelsenwasser AG,0,99,99,99,7,99,99
NeuesForum,Neues Forum,0,99,99,99,7,99,99
DIHT,Deutscher Industrie und Handelskammertag,0,99,99,99,7,99,99
IHKBerlin,Industrie und Handelskammer Berlin,0,99,99,99,7,99,1
FEAD,Europaeische Foederation der Entsorgungswirtschaft,0,99,99,99,7,99,99
BerlinPartner,Berlin Partner GmbH,0,99,99,99,7,99,1
RNE,Rat fuer Nachhaltige Entwicklung,0,99,99,99,7,99,99
Tierschutzpartei,Tierschutzpartei,0,99,99,99,2,99,99
BfB,Buirer fuer Buir,0,99,99,99,7,99,99
KlimaAllianzDeutschland,Klima Allianz Deutschland,0,99,99,99,7,99,99
GZW,Gruene Zukunft Welzow,0,99,99,99,7,99,2
SprembergerTuche,Spremberger Tuche GmbH,0,99,99,99,7,99,2
KreissparkasseKoeln,Kreissparkasse Koeln,0,99,99,99,7,99,7
MetropolregionRheinland,Metropolregion Rheinland eV,0,99,99,99,7,99,99
NaturparkRheinland,Naturpark Rheinland,0,99,99,99,7,99,99
ZRR,Zukunftsagentur Rheinisches Revier,0,99,99,99,7,99,99
LEENRW,Landesverband Erneuerbare Energien Nordrhein Westfalen,0,99,99,99,7,99,7
LL,Landesverband Lippe,0,99,99,99,7,99,7
LandtagNW,Landtag Nordrhein Westfalen,0,99,99,99,7,99,7
BAPP,Bonner Akademie fuer Forschung und Lehre praktischer Politik,0,99,99,99,7,99,7
CARE,Hilfsorganisation CARE Deutschland,0,99,99,99,7,99,99
SNV,Stiftung Neue Verantwortung,0,99,99,99,7,99,99
IGBCE,Industriegewerkschaft Bergbau Chemie Energie,0,99,99,99,7,99,99
DienstleistungsgewerkschaftVerdi,Dienstleistungsgewerkschaft Verdi,0,99,99,99,7,99,99
WuppertalerStadtwerke,Wuppertaler Stadtwerke GmbH,0,99,99,99,7,99,7
DGB,Deutscher Gewerkschaftsbund,0,99,99,99,7,99,99
DR,Deutsche Rentenversicherung,0,99,99,99,7,99,99
HR,Hessischer Rundfunk,0,99,99,99,7,99,5
Greenpeace,Greenpeace,0,99,99,99,7,99,99
BUND,Bund fuer Umwelt und Naturschutz Deutschland,0,99,99,99,7,99,99
VDW,Vereinigung Deutscher Wissenschaftler,0,99,99,99,7,99,99
BALR,Bayerische Akademie Laendlicher Raum,0,99,99,99,7,99,3
BSUGV,Bayerisches Staatsministerium fuer Umwelt Gesundheit und Verbraucherschutz,0,99,99,99,7,99,3
DNR,Dachverband Deutscher Naturschutzring,0,99,99,99,7,99,99
Naturfreunde,Naturfreunde Deutschlands,0,99,99,99,7,99,99
DBU,Deutsche Bundesstiftung Umwelt,0,99,99,99,7,99,99
WZB,Wissenschaftszentrum Berlin fuer Sozialforschung,0,99,99,99,7,99,1
BHU,Berliner Humboldt Universitaet,0,99,99,99,7,99,1
DGS,Deutsche Gesellschaft fuer Soziologie,0,99,99,99,7,99,99
IAB,Institut fuer Arbeitsmarkt und Berufsforschung,0,99,99,99,7,99,99
MPIB,Max Planck Institut fuer Bildungsforschung,0,99,99,99,7,99,99
OekoInstitut,Oeko Institut,0,99,99,99,7,99,99
EKNE,Enquete Kommission Nachhaltige Energieversorgung,0,99,99,99,7,99,99
PIK,Potsdam Institut fuer Klimafolgenforschung,0,99,99,99,7,99,99
WBGU,Wissenschaftlicher Beirat der Bundesregierung fuer Globale Umweltveraenderungen,0,99,99,99,7,99,99
IPCC,Weltklimarat IPCC,0,99,99,99,7,99,99
SRC,Stockholm Resilience Centre,0,99,99,99,7,99,99
UniKiel,Uni Kiel,0,99,99,99,7,99,10
HWWA,Hamburgischer Welt Wirtschafts Archiv,0,99,99,99,7,99,6
IABNord,Institut fuer Arbeitsmarkt und Berufsforschung in Kiel,0,99,99,99,7,99,10
FrauenhoferInstitut,Frauenhofer Institut,0,99,99,99,7,99,99
MPIM,Max Planck Institut fuer Mikrostrukturphysik,0,99,99,99,7,99,99
SM,SmartMembranes GmbH,0,99,99,99,7,99,99
FG,Frauenhofer Gesellschaft eV,0,99,99,99,7,99,99
PKM,Parlamentskreis Mittelstand,0,99,99,99,7,99,99
MIT,Mittelstands und Wirtschaftsvereinigung,0,99,99,99,7,99,99
PBNE,Parlamentarischer Beirat fuer Nachhaltige Entwicklung,0,99,99,99,7,99,99
EUD,Europa Union Deutschland,0,99,99,99,7,99,99
AUNR,Ausschuss fuer Umwelt Naturschutz und Reaktorsicherheit,0,99,99,99,7,99,99
